sub_id,sub_thai,subdistrict,dis_thai,district,pro_thai,province,lat,lng,name_id,amenity,amenity_cafe,amenity_clinic,amenity_fuel,amenity_hospital,amenity_place_of_worship,amenity_police,amenity_restaurant,amenity_school,amenity_shelter,amenity_toilets,historic,leisure,natural,office,publictransport,residential,shop,shop_convenience,tourism,tourism_attraction,tourism_guest_house,tourism_hotel,poi,size
100202,วชิรพยาบาล,Wachira Phayaban,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,13.778,100.505,Bangkok_14,179.742932,1.762185608,0,0,0.881092804,0,0,2.643278412,0,0,0,16.74076328,32.60043375,222.9164794,31.71934094,1.762185608,0,96.03911564,1.762185608,8.81092804,0,2.643278412,0.881092804,682,1.134954224
100203,สวนจิตรลดา,Suan Chit Lada,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,13.767,100.52,Bangkok_15,25.51224062,0,0,0,0,0,0,1.063010026,0,0,0,4.252040104,98.3284274,312.5249476,0,15.41364538,0,1.594515039,0,0.531505013,0,0,0,864,1.881449799
100204,สี่แยกมหานาค,Si Yaek Maha Nak,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,13.758,100.517,Bangkok_16,315.7787359,0,0,0,0,2.769988911,0,2.769988911,0,0,0,38.77984476,36.00985585,110.7995565,0,11.07995565,0,232.6790686,2.769988911,2.769988911,2.769988911,0,0,274,0.361012275
100206,ถนนนครไชยศรี,,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,13.789,100.522,Bangkok_17,22.56892169,0.177708045,0,0.888540224,0,0,0,0.533124134,0.177708045,0,0.177708045,0,16.88226425,27.18933085,7.996862015,6.042073522,0,5.864365478,1.777080448,1.066248269,0,0,0.177708045,515,5.627207262
100301,กระทุ่มราย,,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,13.823,100.897,Bangkok_18,1.979875739,0,0,0.025061718,0.025061718,0.025061718,0,0,0,0.025061718,0,0,2.055060894,4.260492097,0,0.025061718,0.801974983,0.451110928,0,0,0,0,0,386,39.90149403
100302,หนองจอก,,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,13.869,100.885,Bangkok_19,0.326869199,0.06537384,0,0,0,0,0,0.03268692,0,0,0,0,0.261495359,0,0,0,0.457616879,0,0,0,0,0,0,35,30.59327716
100303,คลองสิบ,,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,13.914,100.82,Bangkok_20,0.917715187,0,0,0,0,0.065551085,0,0.032775542,0,0,0,0,0,0,0,0,3.867514003,0,0.032775542,0,0,0,0,150,30.51055534
100304,คลองสิบสอง,,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,13.914,100.88,Bangkok_21,0.264598721,0,0,0,0,0.052919744,0,0,0,0.026459872,0,0.026459872,1.296533734,43.20897117,0,0.026459872,0.37043821,0.185219105,0,0,0,0.026459872,0,1719,37.79307759
100305,โคกแฝด,,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,13.84,100.836,Bangkok_22,0.883859854,0,0,0.044192993,0,0.088385985,0,0.088385985,0.132578978,0,0,0,1.458368759,15.24658248,0.044192993,0,4.684457225,0.265157956,0,0.088385985,0.044192993,0,0,522,22.62802175
100306,คู้ฝั่งเหนือ,,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,13.872,100.81,Bangkok_23,0.221345569,0,0,0,0,0.110672785,0.110672785,0.055336392,0.166009177,0.055336392,0,0,0,7.913104097,0,0,0.885382277,0.110672785,0.055336392,0.110672785,0,0,0,177,18.07129013
